Captain_ID,Home_Base,Legs
840,CGN,"[3504657604, 3504658198, 3504658149, 3504676833, 3504676854, 3504676855, 3504676814]"
349,STR,"[3504657725, 3504657798]"
931,HAM,"[3504658045, 3504657613]"
522,CGN,"[3504657598, 3504657599]"
721,DUS,"[3504658197, 3504657834]"
702,DUS,"[3504658278, 3504657724]"
101,HAM,"[3504658022, 3504657674]"
86,DUS,"[3504658235, 3504658062]"
355,CGN,"[3504657606, 3504657859]"
909,DUS,"[3504658257, 3504658072]"
936,DUS,"[3504658223, 3504658224]"
327,STR,"[3504657779, 3504657780]"
208,BER,"[3504658109, 3504657695]"
681,DUS,"[3504658165, 3504658166]"
182,DUS,"[3504658177, 3504676867, 3504676948, 3504676415]"
503,DUS,"[3504658201, 3504658108]"
320,DUS,[3504658117]
415,HAM,"[3504658043, 3504658044]"
936,DUS,"[3504658141, 3504676827]"
262,DUS,[3504658282]
495,STR,"[3504657785, 3504676441, 3504676657, 3504676711, 3504676865]"
711,DUS,"[3504658280, 3504676456, 3504676396, 3505309389, 3505309372, 3505309371]"
12,DUS,[3504658253]
45,DUS,[3504658221]
543,HAJ,[3504657793]
6,HAM,"[3504658055, 3504676385, 3504676333, 3504676534]"
509,DUS,[3504658284]
556,CGN,"[3504657614, 3504658214]"
703,CGN,"[3504657630, 3504658070]"
937,HAJ,"[3504657795, 3504658212]"
341,BER,"[3504658107, 3504658210]"
815,HAM,"[3504658039, 3504676780, 3504676775, 3504676543]"
889,STR,"[3504657766, 3504657625]"
119,CGN,"[3504657608, 3504657702, 3504657935]"
131,DUS,"[3504658259, 3504657635]"
678,BER,"[3504658091, 3504658211, 3504676521, 3504676520, 3504676580]"
511,HAM,"[3504658063, 3504657627]"
400,DUS,"[3504658163, 3504676778, 3504676785, 3504676786]"
93,BER,"[3504658099, 3504658206, 3504658231, 3504676535, 3504676544, 3505309451, 3505309594, 3505309595]"
489,STR,"[3504762518, 3504657615, 3504657626]"
597,DUS,"[3504658229, 3504658230]"
390,DUS,"[3504658261, 3504657782]"
139,STR,"[3504657669, 3504658030]"
46,DUS,"[3504658119, 3504658077, 3504676971, 3504676868, 3504676369]"
134,STR,"[3504657681, 'DH_3504658188', 3504658267, 3504676963]"
505,STR,"[3504657690, 3504658046]"
948,MUC,[3504658132]
54,STR,"[3504657766, 3504658238]"
88,STR,"[3504657698, 3504658100]"
948,MUC,[3504658134]
435,HAM,"[3504658079, 3504658080]"
365,BER,"[3504658091, 3504658195, 3504658196]"
635,CGN,"[3504657624, 3504658064]"
865,STR,"[3504657656, 3504657978]"
582,HAM,"[3504657937, 3504657587, 3504657594]"
330,DUS,"[3504658243, 3504658244, 3504658171, 3504657595]"
23,HAM,"[3504657657, 3504657679, 3504676358, 3504676378, 3504676608]"
523,HAM,"[3504658031, 3504657597]"
161,CGN,"[3504657642, 3504657643, 3504657634]"
390,DUS,"[3504658199, 3504658200, 3504658127]"
5,DUS,"[3504658125, 3504658095]"
161,CGN,"[3504657628, 3504676746, 3504676727, 3504676728]"
141,STR,"[3504657701, 3504657609]"
176,STR,"[3504657669, 3504658172, 3504658121]"
937,HAJ,"[3504657799, 3504657800]"
495,STR,"[3504658088, 3504658113, 3504658114]"
880,CGN,"[3504657606, 3504657607, 3504657610]"
495,STR,[3504657783]
391,BER,"[3504658126, 3504658275]"
175,HAM,"[3504658075, 3504658076]"
948,MUC,[3504657589]
8,HAM,"[3504657940, 3504657949, 3504658122, 3504658239, 3504676393, 3504676420, 3504676423, 3504676376]"
205,STR,"[3504657787, 3504657788, 3504657781, 3504658264]"
271,DUS,"[3504658171, 3504657672, 3504657703, 3504676722, 3504676713, 3504676714]"
839,BER,"[3504658093, 3504658094]"
390,DUS,[3504658271]
824,DUS,"[3504658203, 3504658204, 3504658123]"
131,DUS,"[3504658183, 3504658040]"
909,DUS,"[3504658237, 3504676932, 3504676922, 3504676925]"
510,DUS,"[3504657822, 3504676554, 3504676870, 3504676871]"
64,STR,"[3504657766, 3504657623]"
175,HAM,"[3504658001, 3504657593]"
181,HAM,"['DH_3504658079', 3504658279]"
198,DUS,"['DH_3504658215', 3504658216]"
69,DUS,"[3504658191, 3504658192]"
584,HAM,"[3504658053, 3504676907, 3504676830, 3505309617]"
363,CGN,"[3504658213, 3504657711]"
409,DUS,"[3504658129, 3504658130, 3504658179, 3504676873, 3504676962, 3504676306]"
918,BER,"[3504658085, 3504658086, 3504658087, 3504657671, 3504657595]"
937,HAJ,"[3504657866, 3504657832]"
43,CGN,"[3504657622, 3504658236, 3504658159, 3504676845, 3504676960, 3504676961]"
172,HAM,"[3504658049, 3504658052]"
388,HAM,[3504657910]
355,CGN,"[3504676259, 3504676938, 3504676802, 3505309601, 3505309621, 3505310325, 3505310402, 3505310403]"
359,DUS,"[3504676807, 3504676701, 3504676704]"
837,HAM,"[3504676338, 3504676416, 3504676417]"
107,BER,"[3504676813, 3504676818, 3504676435, 3504676436]"
