pairing_id,base,n_legs,cost,start_min,end_min,route,legs
135,DUS,4,780.0,385.0,2100.0,DUS->SPU [TUR] SPU->CGN [LAY] CGN->VIE [TUR] VIE->DUS,3505309763|3505309329|3505310000|3505310417
136,STR,4,770.0,850.0,2550.0,STR->VIE [TUR] VIE->DUS [LAY] DUS->EDI [TUR] EDI->STR,3505309390|3505309722|3505310334|3505310041
137,HAM,4,765.0,975.0,2695.0,HAM->STR [TUR] STR->PMI [TUR] PMI->NUE [LAY] NUE->HAM,3505309337|3505309374|3505309469|3505310210
138,HAM,5,765.0,710.0,2630.0,HAM->DUS [TUR] DUS->ZRH [TUR] ZRH->HAM [TUR] HAM->ARN [LAY] ARN->HAM,3505309605|3505309725|3505309555|3505309508|3505310216
139,DUS,4,760.0,1065.0,2635.0,DUS->BUD [TUR] BUD->HAM [LAY] HAM->LHR [TUR] LHR->DUS,3505309733|3505309559|3505310223|3505310353
140,HAM,4,745.0,810.0,2775.0,HAM->LHR [TUR] LHR->DUS [LAY] DUS->MAN [TUR] MAN->HAM,3505309518|3505309648|3505310332|3505310262
141,DUS,4,735.0,960.0,2680.0,DUS->LHR [TUR] LHR->HAM [LAY] HAM->VIE [TUR] VIE->DUS,3505309647|3505309521|3505310253|3505310421
142,DUS,4,730.0,410.0,2475.0,DUS->ZRH [TUR] ZRH->HAM [LAY] HAM->VCE [TUR] VCE->DUS,3505309723|3505309553|3505310263|3505310436
143,HAM,5,730.0,420.0,2420.0,HAM->ZRH [LAY] ZRH->CGN [TUR] CGN->BER [TUR] BER->STR [TUR] STR->HAM,3505309552|3505310005|3505309948|3505310023|3505310026
144,DUS,2,715.0,1290.0,1805.0,DUS->RAK [TUR] RAK->DUS,3505309759|3505310459
145,DUS,4,710.0,420.0,2455.0,DUS->LHR [TUR] LHR->HAM [TUR] HAM->ZRH [LAY] ZRH->DUS,3505309643|3505309517|3505309554|3505310425
146,CGN,4,680.0,600.0,2055.0,CGN->BER [TUR] BER->STR [LAY] STR->VIE [TUR] VIE->CGN,3505309249|3505309332|3505310082|3505310001
147,HAJ,2,676.0,645.0,2805.0,DUS->BGY [LAY] BGY->HAJ,3505309737|3505310111
148,HAJ,2,665.0,970.0,1430.0,HAJ->FAO [TUR] FAO->HAJ,3505309410|3505309411
149,DUS,2,665.0,1290.0,1805.0,DUS->KEF [TUR] KEF->DUS,3505309618|3505310323
150,CGN,2,640.0,1055.0,2810.0,CGN->BCN [LAY] BCN->CGN,3505309274|3505309971
151,DUS,2,605.0,935.0,1340.0,DUS->AGP [TUR] AGP->DUS,3505309661|3505309662
152,DUS,2,585.0,400.0,2760.0,DUS->BUD [LAY] BUD->DUS,3505309732|3505310432
153,DUS,2,565.0,1820.0,2190.0,DUS->OPO [TUR] OPO->DUS,3505310396|3505310397
154,DUS,2,560.0,420.0,2450.0,DUS->VIE [LAY] VIE->DUS,3505309717|3505310419
155,HAJ,2,550.0,1090.0,1435.0,HAJ->PMI [TUR] PMI->HAJ,3505309487|3505309413
156,HAM,2,520.0,1200.0,2565.0,HAM->SZG [LAY] SZG->HAM,3505309444|3505310139
157,CGN,3,480.0,1820.0,2210.0,CGN->ZRH [TUR] ZRH->BER [TUR] BER->CGN,3505310004|3505310304|3505309947
158,STR,2,480.0,1805.0,2080.0,STR->BCN [TUR] BCN->STR,3505310046|3505310047
159,STR,2,450.0,1080.0,1340.0,STR->FCO [TUR] FCO->STR,3505309406|3505309407
160,BER,2,420.0,1820.0,2040.0,BER->GOT [TUR] GOT->BER,3505310279|3505310280
161,DUS,2,400.0,1900.0,2250.0,DUS->PRG [TUR] PRG->DUS,3505310427|3505310428
